Date,ExchangeRateTo €,Unleaded 95 OCT (€/1000L) (I),Automotive Diesel (€/1000L) (I),Heating gas oil (€/1000L) (II),Fuel oil - Sulphur less than 1% (€/1000Kg) (III)
18/12/2017,1,1219.36,1237.85,824.56,577.80
11/12/2017,1,1219.00,1243.60,821.14,577.80
4/12/2017,1,1221.34,1243.60,818.55,577.80
27/11/2017,1,1221.34,1243.60,818.55,568.08
20/11/2017,1,1222.36,1245.00,819.27,568.08
13/11/2017,1,1205.09,1226.45,786.87,568.08
6/11/2017,1,1207.01,1208.23,782.45,568.08
30/10/2017,1,1187.08,1207.15,780.48,568.08
23/10/2017,1,1187.62,1206.44,780.66,568.08
16/10/2017,1,1193.35,1205.78,776.73,568.08
9/10/2017,1,1198.13,1204.46,780.68,568.08
2/10/2017,1,1198.44,1204.18,782.51,568.08
25/9/2017,1,1206.13,1187.11,773.62,568.08
18/9/2017,1,1206.52,1174.05,760.27,568.08
11/9/2017,1,1203.04,1175.19,760.07,568.08
4/9/2017,1,1181.16,1175.28,762.85,568.08
28/8/2017,1,1181.26,1175.28,763.39,568.08
21/8/2017,1,1181.79,1175.28,763.39,568.08
14/8/2017,1,1182.57,1175.28,763.39,568.08
7/8/2017,1,1164.43,1155.84,761.74,568.08
31/7/2017,1,1158.78,1153.86,760.67,568.08
24/7/2017,1,1158.78,1145.84,760.67,568.08
17/7/2017,1,1158.86,1145.84,760.67,568.08
10/7/2017,1,1159.98,1147.77,761.14,568.08
3/7/2017,1,1170.94,1156.48,770.28,568.08
26/6/2017,1,1174.43,1158.37,772.53,568.08
19/6/2017,1,1193.61,1161.66,800.91,568.08
12/6/2017,1,1199.91,1176.06,800.91,568.08
5/6/2017,1,1200.70,1184.79,800.91,568.08
29/5/2017,1,1201.26,1184.79,800.21,568.08
22/5/2017,1,1203.99,1184.83,800.21,564.58
15/5/2017,1,1220.65,1191.86,800.91,564.58
8/5/2017,1,1238.62,1217.90,800.91,564.58
1/5/2017,1,1254.71,1228.37,800.30,564.58
24/4/2017,1,1236.24,1231.50,794.49,564.58
10/4/2017,1,1204.31,1203.33,794.68,564.58
3/4/2017,1,1210.72,1211.16,797.38,564.58
27/3/2017,1,1223.80,1218.45,804.49,564.58
20/3/2017,1,1234.85,1222.87,803.52,564.58
13/3/2017,1,1245.52,1234.00,805.41,564.58
6/3/2017,1,1245.61,1234.04,805.41,564.58
27/2/2017,1,1245.51,1233.88,805.41,550.93
20/2/2017,1,1242.94,1228.29,805.41,550.93
13/2/2017,1,1242.94,1228.29,805.41,550.93
6/2/2017,1,1242.94,1228.29,805.41,550.93
30/1/2017,1,1242.94,1228.47,805.41,550.93
23/1/2017,1,1243.01,1228.19,805.41,550.93
16/1/2017,1,1238.00,1226.51,805.41,536.94
9/1/2017,1,1224.15,1220.69,805.53,536.94
2/1/2017,1,1203.20,1212.21,788.82,536.94
19/12/2016,1,1189.82,1199.02,781.66,507.77
12/12/2016,1,1170.55,1160.37,745.08,507.77
5/12/2016,1,1170.44,1160.37,745.32,507.77
28/11/2016,1,1163.98,1160.76,747.02,507.77
21/11/2016,1,1168.17,1165.75,757.20,507.77
14/11/2016,1,1172.20,1174.48,764.46,507.77
7/11/2016,1,1186.06,1188.98,763.41,504.86
31/10/2016,1,1185.04,1186.83,737.95,504.86
24/10/2016,1,1181.33,1185.27,738.06,504.86
17/10/2016,1,1166.74,1165.45,724.62,504.86
10/10/2016,1,1161.22,1144.46,723.24,504.86
3/10/2016,1,1157.23,1144.38,723.24,504.86
26/9/2016,1,1157.23,1144.38,723.24,504.86
19/9/2016,1,1158.54,1144.85,724.65,490.27
12/9/2016,1,1149.69,1142.65,721.49,496.97
5/9/2016,1,1146.53,1131.99,713.73,496.97
29/8/2016,1,1134.88,1116.68,713.73,496.97
22/8/2016,1,1121.02,1110.27,713.44,496.97
15/8/2016,1,1122.25,1112.91,714.89,496.97
8/8/2016,1,1132.78,1130.27,731.75,496.97
1/8/2016,1,1146.57,1145.74,731.69,496.97
25/7/2016,1,1151.02,1147.29,730.62,459.02
18/7/2016,1,1164.36,1161.86,728.78,459.02
11/7/2016,1,1168.23,1161.68,724.56,459.02
4/7/2016,1,1177.00,1161.62,726.40,459.02
27/6/2016,1,1177.13,1161.73,724.96,459.02
20/6/2016,1,1177.60,1161.73,717.84,459.02
13/6/2016,1,1179.14,1161.12,701.63,459.02
6/6/2016,1,1179.31,1159.39,703.81,459.02
30/5/2016,1,1172.50,1156.52,690.01,459.02
